id,organisation_id,version,pays,periodicite,revenu_brut,trimf,ir_1,ir_1_5,ir_2,ir_2_5,ir_3,ir_3_5,ir_4,ir_4_5,ir_5
5c2f5310-368f-4163-a3a9-770277c8169f,,SN-2013,SN,annuel,1065000,4800,23000,0,0,0,0,0,0,0,0
c6b758c8-ae29-48c5-8c37-9350a1258a8d,,SN-2013,SN,annuel,1070000,4800,23800,0,0,0,0,0,0,0,0
c02de6e6-893b-4095-8b89-d42b2c390e52,,SN-2013,SN,annuel,1075000,4800,24400,0,0,0,0,0,0,0,0
1089e00a-1ac4-4cb9-b347-b1ca62be0e96,,SN-2013,SN,annuel,1080000,4800,25200,0,0,0,0,0,0,0,0
5209dc06-6f0b-4338-b8d1-43ae0b9fe41b,,SN-2013,SN,annuel,1085000,4800,25800,0,0,0,0,0,0,0,0
412eeb64-ce5e-4bd5-8dfd-b5a5417e2a3c,,SN-2013,SN,annuel,1090000,4800,26600,0,0,0,0,0,0,0,0
d9b241f6-35e5-42be-8056-ddc71f75d8ba,,SN-2013,SN,annuel,1095000,4800,27200,0,0,0,0,0,0,0,0
721ee35e-0743-4443-be53-00759606542c,,SN-2013,SN,annuel,1100000,4800,28000,0,0,0,0,0,0,0,0
3eff1798-5242-49a0-a0b7-4b986be344ba,,SN-2013,SN,annuel,1105000,4800,28600,0,0,0,0,0,0,0,0
d913f63f-e4d8-4f3d-aefd-5c2e5e67ffca,,SN-2013,SN,annuel,1110000,4800,29400,0,0,0,0,0,0,0,0
193536f8-7dea-44db-8078-540eed1a1a34,,SN-2013,SN,annuel,1115000,4800,30000,0,0,0,0,0,0,0,0
b4c7db98-eaeb-4713-9c34-c0a84b9661dc,,SN-2013,SN,annuel,1120000,4800,30800,0,0,0,0,0,0,0,0
c0412202-4dbd-4f41-86a0-3c616a8a47ed,,SN-2013,SN,annuel,1125000,4800,31400,0,0,0,0,0,0,0,0
1f6ff99d-a505-4a96-90bc-ac4d183548a2,,SN-2013,SN,annuel,1130000,4800,32200,0,0,0,0,0,0,0,0
51cd9074-813d-4257-affa-102f1a3831ed,,SN-2013,SN,annuel,1135000,4800,32800,0,0,0,0,0,0,0,0
461ad994-f521-4b6c-b559-8a61e9f9f118,,SN-2013,SN,annuel,1140000,4800,33600,0,0,0,0,0,0,0,0
2e34b3bd-9e51-4264-bd4a-4b99afa6b897,,SN-2013,SN,annuel,1145000,4800,34200,0,0,0,0,0,0,0,0
869294eb-c664-4b38-a938-ec1a158021ea,,SN-2013,SN,annuel,1150000,4800,35000,0,0,0,0,0,0,0,0
632f238d-c1f3-458f-9e86-56f9c8335d1f,,SN-2013,SN,annuel,1155000,4800,35600,0,0,0,0,0,0,0,0
24dab436-0121-4dba-a18f-50ddc753a3a2,,SN-2013,SN,annuel,1160000,4800,36400,0,0,0,0,0,0,0,0
8a531fdc-a902-4d3b-aeea-67ae276e32d1,,SN-2013,SN,annuel,1165000,4800,37000,0,0,0,0,0,0,0,0
4067266e-64a1-445d-a861-b9f1513f40a3,,SN-2013,SN,annuel,1170000,4800,37800,0,0,0,0,0,0,0,0
37e608aa-b9ea-4080-8870-bd9373bb0bd6,,SN-2013,SN,annuel,1175000,4800,38400,0,0,0,0,0,0,0,0
c5c712e3-3f23-4c7a-936d-a8a1d9e8f909,,SN-2013,SN,annuel,1180000,4800,39200,0,0,0,0,0,0,0,0
aa9a7fa7-3b80-4659-bb5f-7150f0400b39,,SN-2013,SN,annuel,1185000,4800,39800,0,0,0,0,0,0,0,0
3594886f-ae3f-4e08-9257-67514c12efaf,,SN-2013,SN,annuel,1190000,4800,40600,0,0,0,0,0,0,0,0
dfa8b2a8-cd1f-4926-8c43-9783e0d0e544,,SN-2013,SN,annuel,1195000,4800,41200,0,0,0,0,0,0,0,0
4aa21f41-8ece-490c-85bf-ca9586e71f53,,SN-2013,SN,annuel,1200000,4800,42000,0,0,0,0,0,0,0,0
111bd6d9-de4a-4b03-ab9a-43b5adc58640,,SN-2013,SN,annuel,1205000,4800,42600,0,0,0,0,0,0,0,0
4f347499-1c59-4a95-af7b-4530e684e6f2,,SN-2013,SN,annuel,1210000,4800,43400,0,0,0,0,0,0,0,0
3390662e-c835-4c54-870c-8bb15bfc9e0b,,SN-2013,SN,annuel,1215000,4800,44000,0,0,0,0,0,0,0,0
d99217df-c7b8-439b-b5ef-2ff4bdee1be9,,SN-2013,SN,annuel,1220000,4800,44800,0,0,0,0,0,0,0,0
7bd98940-4b55-48e0-926a-699b1abec755,,SN-2013,SN,annuel,1225000,4800,45400,0,0,0,0,0,0,0,0
54d8a623-f309-4b93-81ad-3d6730110566,,SN-2013,SN,annuel,1230000,4800,46200,0,0,0,0,0,0,0,0
d16c1670-7379-4b01-afd1-38c731f8dd64,,SN-2013,SN,annuel,1235000,4800,46800,0,0,0,0,0,0,0,0
3ae65fa4-d0f2-4bb0-a7ff-253f254fada1,,SN-2013,SN,annuel,1240000,4800,47600,0,0,0,0,0,0,0,0
32a7b128-316c-4df0-856a-4ef64076c451,,SN-2013,SN,annuel,1245000,4800,48200,0,0,0,0,0,0,0,0
11b49e9b-7f12-4016-8e3f-344a0372851a,,SN-2013,SN,annuel,1250000,4800,49000,0,0,0,0,0,0,0,0
28f135cb-d11e-4c9a-a41d-dfcb94913c56,,SN-2013,SN,annuel,1255000,4800,49600,0,0,0,0,0,0,0,0
ff242016-6b00-4492-b858-1c6ce7b0ae7f,,SN-2013,SN,annuel,1260000,4800,50400,0,0,0,0,0,0,0,0
9fce0072-c367-477c-bbf5-20c78401623b,,SN-2013,SN,annuel,1265000,4800,51000,0,0,0,0,0,0,0,0
6e640091-8815-4af2-9784-a0ef012344b9,,SN-2013,SN,annuel,1270000,4800,51800,0,0,0,0,0,0,0,0
98cabc45-d5a3-40d8-bf1d-cefd579e7ac3,,SN-2013,SN,annuel,1275000,4800,52400,0,0,0,0,0,0,0,0
de025011-5e25-47f7-a5f9-343999656884,,SN-2013,SN,annuel,1280000,4800,53200,0,0,0,0,0,0,0,0
914889fd-8c64-42ee-873e-fe034a3dfecc,,SN-2013,SN,annuel,1285000,4800,53800,0,0,0,0,0,0,0,0
588d3c2b-e905-47ea-9089-ce978992c0f7,,SN-2013,SN,annuel,1290000,4800,54600,0,0,0,0,0,0,0,0
429095c0-3827-4e99-9a42-f16cec23f83b,,SN-2013,SN,annuel,1295000,4800,55200,0,0,0,0,0,0,0,0
bc55db8b-8dd2-4f38-8f72-5d81018ab75d,,SN-2013,SN,annuel,1300000,4800,56000,0,0,0,0,0,0,0,0
4a78c9d8-0fa5-4e89-987d-824eeb51dafa,,SN-2013,SN,annuel,1305000,4800,56600,0,0,0,0,0,0,0,0
947e3590-b76d-4f29-9d93-aa19b75f3f0a,,SN-2013,SN,annuel,1310000,4800,57400,0,0,0,0,0,0,0,0
dc65b298-5ca5-40ca-94a3-0d5721b153d3,,SN-2013,SN,annuel,1315000,4800,58000,0,0,0,0,0,0,0,0
5c3a0863-8c51-46ab-b34b-27d29154b63d,,SN-2013,SN,annuel,1320000,4800,58800,0,0,0,0,0,0,0,0
4c05abcf-aa87-4950-8b27-77c0ba6031f8,,SN-2013,SN,annuel,1325000,4800,59400,0,0,0,0,0,0,0,0
835a9c8b-c4fd-42ec-80c2-39f1d531995f,,SN-2013,SN,annuel,1330000,4800,60200,0,0,0,0,0,0,0,0
47d05bfe-483d-43a3-8039-3e9bfdc7551c,,SN-2013,SN,annuel,1335000,4800,60800,0,0,0,0,0,0,0,0
9bb6b024-07cb-41a9-b27c-514dd61f38cf,,SN-2013,SN,annuel,1340000,4800,61600,0,0,0,0,0,0,0,0
b248aa12-1133-4e5e-8f1b-abe24d74bb84,,SN-2013,SN,annuel,1345000,4800,62200,0,0,0,0,0,0,0,0
4a84a858-2904-440f-8df8-5e87f5cd670f,,SN-2013,SN,annuel,1350000,4800,63000,0,0,0,0,0,0,0,0
7bd1dd95-9f11-49d4-a8eb-6f77effb1a51,,SN-2013,SN,annuel,1355000,4800,63600,0,0,0,0,0,0,0,0
991d5198-12ba-46c0-a39a-fb89d608dcfa,,SN-2013,SN,annuel,1360000,4800,64400,0,0,0,0,0,0,0,0
b2a594ec-558d-4be0-ae42-86056b6faa98,,SN-2013,SN,annuel,1365000,4800,65000,0,0,0,0,0,0,0,0
f8e07f1b-bd6b-4f32-9797-0632bb777d6e,,SN-2013,SN,annuel,1370000,4800,65800,0,0,0,0,0,0,0,0
905f9bb2-a558-4e77-a0fb-1ad911d0f323,,SN-2013,SN,annuel,1375000,4800,66400,0,0,0,0,0,0,0,0
c303b8ac-a8df-4173-9ca7-bdf0c7f8b646,,SN-2013,SN,annuel,1380000,4800,67200,0,0,0,0,0,0,0,0
0f42704c-111e-4568-9861-734969b8181a,,SN-2013,SN,annuel,1385000,4800,67800,0,0,0,0,0,0,0,0
d3a79e53-a15e-4904-9619-cf626c2bbbc0,,SN-2013,SN,annuel,1390000,4800,68600,0,0,0,0,0,0,0,0
5cf6c9de-7a7b-4221-8c0d-c7b07fa4a9a8,,SN-2013,SN,annuel,1395000,4800,69200,0,0,0,0,0,0,0,0
fcdd3b48-d872-4536-9c22-bdbd10f414f3,,SN-2013,SN,annuel,1400000,4800,70000,0,0,0,0,0,0,0,0
b63faaeb-b98c-4fbb-b171-0effc762ff25,,SN-2013,SN,annuel,1405000,4800,70600,0,0,0,0,0,0,0,0
b6aab59e-3914-494c-b0b0-94a1cf78f35b,,SN-2013,SN,annuel,1410000,4800,71400,0,0,0,0,0,0,0,0
c7a3ae06-25dc-461b-b0eb-3d9556726d89,,SN-2013,SN,annuel,1415000,4800,72000,0,0,0,0,0,0,0,0
96026546-c856-4230-904b-9735866fcb8e,,SN-2013,SN,annuel,1420000,4800,72800,0,0,0,0,0,0,0,0
9e7ef2db-afb5-4553-bc4d-57390b4212e7,,SN-2013,SN,annuel,1425000,4800,73400,0,0,0,0,0,0,0,0
2d804e46-f9db-4880-90c5-b9ece262b51a,,SN-2013,SN,annuel,1430000,4800,74200,0,0,0,0,0,0,0,0
22592d41-e002-4bda-bfd4-4f1a1bfd72e4,,SN-2013,SN,annuel,1435000,4800,74800,0,0,0,0,0,0,0,0
019ec1f7-030c-45dd-90cd-55aefdeb7c5f,,SN-2013,SN,annuel,1440000,4800,75600,0,0,0,0,0,0,0,0
d9278fdf-92f6-47b6-9251-18f1d82d7f9e,,SN-2013,SN,annuel,1445000,4800,76200,0,0,0,0,0,0,0,0
5b6cf35c-0c59-4fe2-ab85-204d56fe0d99,,SN-2013,SN,annuel,1450000,4800,77000,0,0,0,0,0,0,0,0
c668bb92-136c-4812-97c5-c7a7a7aa9ead,,SN-2013,SN,annuel,1455000,4800,77600,0,0,0,0,0,0,0,0
26eed98e-2c50-4d4f-ab95-0659ade716e0,,SN-2013,SN,annuel,1460000,4800,78400,0,0,0,0,0,0,0,0
d989ae6e-c6b6-4ce9-908f-2df18a547e32,,SN-2013,SN,annuel,1465000,4800,79000,0,0,0,0,0,0,0,0
8d4ba8fc-484a-444b-80ef-bf0c4970a2fd,,SN-2013,SN,annuel,1470000,4800,79800,0,0,0,0,0,0,0,0
f111502e-9f42-4e40-be93-ede835f88104,,SN-2013,SN,annuel,1475000,4800,80400,0,0,0,0,0,0,0,0
5618fe16-8c6a-4dbf-a529-c94e0edc4475,,SN-2013,SN,annuel,1480000,4800,81200,0,0,0,0,0,0,0,0
68a8aa0b-d8bb-42cf-acd3-1fc6bf8437ac,,SN-2013,SN,annuel,1485000,4800,81800,0,0,0,0,0,0,0,0
a634ce84-c91b-4f51-957f-5e101160fb44,,SN-2013,SN,annuel,1490000,4800,82600,0,0,0,0,0,0,0,0
0dfb13c9-c6a0-498c-a5db-491b74651ed7,,SN-2013,SN,annuel,1495000,4800,83200,0,0,0,0,0,0,0,0
fce0571c-5661-442b-ab65-5afe46ec3534,,SN-2013,SN,annuel,1500000,4800,84000,0,0,0,0,0,0,0,0
422943a7-7125-4d29-be6c-56120163b01c,,SN-2013,SN,annuel,1505000,4800,84600,0,0,0,0,0,0,0,0
5485eaa6-6a9d-4a28-bc15-bb7763994726,,SN-2013,SN,annuel,1510000,4800,85400,0,0,0,0,0,0,0,0
3a259e58-6a18-40f9-a13f-e728f96554dd,,SN-2013,SN,annuel,1515000,4800,86000,0,0,0,0,0,0,0,0
bff7159d-5347-47fa-8555-0343f823f9a3,,SN-2013,SN,annuel,1520000,4800,86800,0,0,0,0,0,0,0,0
7f675e52-8d38-426d-959c-890d19613b93,,SN-2013,SN,annuel,1525000,4800,87400,0,0,0,0,0,0,0,0
9c935d97-30e5-4c8d-8256-bda46f62947b,,SN-2013,SN,annuel,1530000,4800,88200,0,0,0,0,0,0,0,0
a2bab166-2a2f-4794-a909-15104ebede55,,SN-2013,SN,annuel,1535000,4800,88800,0,0,0,0,0,0,0,0
